nct_id,title,overall_status,study_type,completion_date,lead_sponsor,lead_sponsor_class,collaborator,collaborator_class,phase,locations,has_drug_intervention,drugs,disposition_date,results_date,enrollment,phase_normalised,is_completed,is_overdue,pubmed_results
NCT00006170,Bupropion and Weight Control for Smoking Cessation - 1,Completed,Interventional,2009-12-01,University of Pittsburgh,Other,National Institute on Drug Abuse (NIDA),NIH,4,United States,True,Bupropion; Placebo; ,,2013-06-18,349.0,4,True,False,False
NCT00006428,Chronic Pain in Spinal Cord Injury,Completed,Interventional,2007-05-01,Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD),NIH,,,4,United States,True,Amitriptyline; ,,,100.0,4,True,True,False
NCT00011765,Effect of Fluoxetine (Prozac) on Domestic Violence,Completed,Interventional,2007-02-01,National Institute on Alcohol Abuse and Alcoholism (NIAAA),NIH,,,2,United States,True,Fluoxetine; ,,,104.0,2,True,False,True
NCT00018902,Treatment of SSRI-Resistant Depression In Adolescents (TORDIA),Completed,Interventional,2007-03-01,University of Pittsburgh,Other,National Institute of Mental Health (NIMH),NIH,2/3,United States,True,Fluoxetine; Venlafaxine; Citalopram; ,,,334.0,2,True,False,True
NCT00027053,Trazodone for Sleep Disturbance in Early Alcohol Recovery,Completed,Interventional,2006-01-01,Rhode Island Hospital,Other,National Institute on Alcohol Abuse and Alcoholism (NIAAA),NIH,2,United States,True,Trazodone; Placebo; ,,,173.0,2,True,False,True
NCT00030914,Medroxyprogesterone Compared With Venlafaxine in Treating Hot Flashes in Women,Completed,Interventional,2006-02-01,Alliance for Clinical Trials in Oncology,Other,National Cancer Institute (NCI),NIH,3,United States,True,medroxyprogesterone; venlafaxine; ,,,227.0,3,True,True,False
NCT00043537,Treatment of Childhood Social Phobia,Completed,Interventional,2006-09-01,University of Central Florida,Other,National Institute of Mental Health (NIMH),NIH,3,United States,True,Fluoxetine; Pill Placebo; ,,,139.0,3,True,False,True
NCT00043550,Treatments for Depression: Drug Versus Psychotherapy,Completed,Interventional,2009-06-01,University of Pennsylvania,Other,National Institute of Mental Health (NIMH),NIH,3,United States,True,Sertraline; Pill Placebo; Venlafaxine; ,,,156.0,3,True,False,True
NCT00044616,Relapse Prevention for Bipolar Type-II Disorder,Completed,Interventional,2007-01-01,University of Pennsylvania,Other,National Institute of Mental Health (NIMH),NIH,4,United States,True,Fluoxetine; Lithium; ,,,180.0,4,True,False,True
NCT00044798,Magnetic Stimulation Therapy for Treating Vascular Depression,Completed,Interventional,2007-03-01,University of Iowa,Other,National Institute of Mental Health (NIMH),NIH,3,United States,True,Citalopram; ,,,132.0,3,True,True,False
