nct_id,title,overall_status,study_type,completion_date,lead_sponsor,lead_sponsor_class,collaborator,collaborator_class,phase,locations,has_drug_intervention,drugs,disposition_date,results_date,enrollment,phase_normalised,is_completed,is_overdue,pubmed_results
NCT00000202,Buprenorphine Maintenance for Opioid Addicts - 1,Completed,Interventional,2006-05-01,Yale University,Other,National Institute on Drug Abuse (NIDA),NIH,2,United States,True,Buprenorphine; ,,,0.0,2,True,True,False
NCT00000203,Buprenorphine Maintenance for Opioid Addicts - 2,Completed,Interventional,2006-05-01,Yale University,Other,National Institute on Drug Abuse (NIDA),NIH,2,United States,True,Buprenorphine; ,,,0.0,2,True,True,False
NCT00000204,Buprenorphine Maintenance for Opioid Addicts - 3,Completed,Interventional,2006-05-01,Yale University,Other,National Institute on Drug Abuse (NIDA),NIH,2,United States,True,Buprenorphine; ,,,0.0,2,True,True,False
NCT00033917,Indomethacin Germinal Matrix Hemorrhage/Intraventricular Hemorrhage (GMH/IVH) Prevention Trial,Completed,Interventional,2012-03-01,Yale University,Other,,,3,United States,True,indomethacin; placebo; ,,2013-01-08,630.0,3,True,False,False
NCT00076687,Safety Study of Botulinum Toxin Type A in Post-Upper Limb Stroke Patients With Reduced Lung Function,Completed,Interventional,2009-08-01,Allergan,Industry,,,2,Czech Republic Hungary Poland United States,True,saline; ,,2011-07-28,155.0,2,True,False,False
NCT00080145,RUPP PI PDD: Drug and Behavioral Therapy for Children With Pervasive Developmental Disorders,Completed,Interventional,2007-09-01,Yale University,Other,National Institute of Mental Health (NIMH),NIH,,United States,True,Risperidone; ,,,124.0,5,True,False,True
NCT00105144,Study of Micafungin in Patients With Invasive Candidiasis or Candidemia,Completed,Interventional,2006-04-01,Astellas Pharma Inc,Industry,,,3,Austria Belgium Brazil Canada Croatia Czech Republic France Germany India Netherlands Poland Spain Switzerland United Kingdom United States,True,Micafungin; Caspofungin; ,,,611.0,3,True,False,True
NCT00105482,Targeted Interventions for Weight-Concerned Smokers,Completed,Interventional,2009-04-01,Yale University,Other,National Institute on Alcohol Abuse and Alcoholism (NIAAA),NIH,2,United States,True,Naltrexone; Transdermal nicotine replacement; ,,2013-01-28,172.0,2,True,False,False
NCT00106392,A Safety and Efficacy Study of Prograf in the Prevention of Erectile Dysfunction After Radical Prostatectomy,Completed,Interventional,2008-04-01,Astellas Pharma Inc,Industry,,,4,United States,True,Tacrolimus; Placebo; ,,2010-09-30,131.0,4,True,False,False
NCT00106496,A Multi-Center Study of Short and Long-term Use of Protopic Ointment in Patients With Atopic Dermatitis,Completed,Interventional,2006-07-01,Astellas Pharma Inc,Industry,,,4,United States,True,Protopic; Corticosteroid; placebo; ,,,410.0,4,True,True,False
